Date,Open,Close,Change,Quote,Low,High,Volume,Turnover,Rate
2017-12-29,6.07,6.12,0.05,0.82%,6.03,6.12,56511,3436.58,0.41%
2017-12-28,6.09,6.07,-0.01,-0.16%,6.05,6.15,60130,3663.71,0.43%
2017-12-27,6.05,6.08,0.01,0.16%,6.04,6.16,70351,4292.31,0.51%
2017-12-26,5.96,6.07,0.05,0.83%,5.96,6.09,59060,3579.29,0.43%
2017-12-25,6.15,6.02,-0.16,-2.59%,5.99,6.21,84139,5110.07,0.61%
2017-12-22,6.24,6.18,-0.05,-0.80%,6.16,6.26,49846,3089.51,0.36%
2017-12-21,6.18,6.23,0.06,0.97%,6.11,6.26,81708,5077.53,0.59%
2017-12-20,6.31,6.17,-0.17,-2.68%,6.11,6.34,70618,4384.76,0.51%
2017-12-19,6.31,6.34,0.03,0.48%,6.27,6.41,75428,4774.11,0.55%
2017-12-18,6.44,6.31,-0.14,-2.17%,6.23,6.44,84833,5349.36,0.61%
2017-12-15,6.19,6.45,0.26,4.20%,6.19,6.52,161677,10316.03,1.17%
2017-12-14,6.35,6.19,-0.17,-2.67%,6.19,6.37,58451,3654.00,0.42%
2017-12-13,6.33,6.36,0.03,0.47%,6.28,6.37,53911,3409.44,0.39%
2017-12-12,6.40,6.33,-0.02,-0.31%,6.28,6.40,51650,3272.68,0.37%
2017-12-11,6.35,6.35,0.10,1.60%,6.27,6.55,97182,6223.40,0.70%
2017-12-08,6.13,6.25,0.09,1.46%,6.13,6.29,61546,3841.67,0.44%
2017-12-07,6.15,6.16,0.00,0.00%,6.11,6.23,54863,3392.65,0.40%
2017-12-06,6.05,6.16,0.11,1.82%,6.02,6.22,85966,5252.23,0.62%
2017-12-05,6.37,6.05,-0.32,-5.02%,5.99,6.41,139464,8591.84,1.01%
2017-12-04,6.46,6.37,-0.13,-2.00%,6.37,6.56,55991,3616.03,0.40%
2017-12-01,6.41,6.50,0.09,1.40%,6.40,6.57,69986,4555.35,0.51%
2017-11-30,6.48,6.41,-0.10,-1.54%,6.40,6.53,37841,2440.05,0.27%
2017-11-29,6.51,6.51,0.02,0.31%,6.35,6.55,79589,5130.28,0.58%
2017-11-28,6.41,6.49,0.09,1.41%,6.39,6.59,89879,5833.26,0.65%
2017-11-27,6.16,6.40,0.28,4.58%,6.14,6.73,187181,12087.96,1.35%
2017-11-24,6.17,6.12,-0.07,-1.13%,6.10,6.26,79960,4933.72,0.58%
2017-11-23,6.43,6.19,-0.25,-3.88%,6.19,6.47,74043,4708.31,0.54%
2017-11-22,6.39,6.44,0.05,0.78%,6.36,6.50,64221,4119.89,0.46%
2017-11-21,6.46,6.39,-0.07,-1.08%,6.38,6.46,57698,3703.53,0.42%
2017-11-20,6.45,6.46,-0.02,-0.31%,6.32,6.46,88305,5632.96,0.64%
2017-11-17,6.79,6.48,-0.30,-4.42%,6.40,6.83,146801,9731.78,1.06%
2017-11-16,6.80,6.78,-0.05,-0.73%,6.66,6.90,60127,4086.52,0.43%
2017-11-15,6.93,6.83,-0.10,-1.44%,6.80,6.93,50514,3462.87,0.37%
2017-11-14,7.11,6.93,-0.15,-2.12%,6.90,7.11,58891,4104.94,0.43%
2017-11-13,7.10,7.08,0.02,0.28%,7.06,7.17,62773,4469.25,0.45%
2017-11-10,7.13,7.06,-0.09,-1.26%,7.04,7.15,59677,4220.24,0.43%
2017-11-09,7.12,7.15,0.01,0.14%,7.04,7.17,70559,5014.01,0.51%
2017-11-08,6.93,7.14,0.18,2.59%,6.93,7.23,137042,9743.71,0.99%
2017-11-07,6.91,6.96,0.07,1.02%,6.87,6.97,68597,4746.15,0.50%
2017-11-06,6.92,6.89,-0.03,-0.43%,6.81,6.96,48044,3290.86,0.35%
2017-11-03,6.94,6.92,0.01,0.14%,6.88,7.06,67084,4674.15,0.48%
2017-11-02,6.95,6.91,0.01,0.14%,6.83,6.95,48093,3319.07,0.35%
2017-11-01,6.84,6.90,0.06,0.88%,6.83,6.95,45982,3173.71,0.33%
2017-10-31,6.84,6.84,-0.01,-0.15%,6.77,6.86,46068,3137.81,0.33%
2017-10-30,6.88,6.85,-0.05,-0.72%,6.66,6.92,90881,6172.54,0.66%
2017-10-27,7.02,6.90,-0.12,-1.71%,6.89,7.03,69935,4871.76,0.51%
2017-10-26,7.00,7.00,-0.05,-0.71%,6.97,7.07,69860,4904.17,0.50%
2017-10-25,7.02,7.05,0.06,0.86%,6.99,7.07,44190,3102.87,0.32%
2017-10-24,7.07,6.99,-0.08,-1.13%,6.94,7.07,57150,3992.89,0.41%
2017-10-23,7.08,7.07,0.01,0.14%,7.01,7.08,40549,2855.18,0.29%
2017-10-20,6.93,7.06,0.13,1.88%,6.92,7.06,48923,3419.73,0.35%
2017-10-19,7.03,6.93,-0.10,-1.42%,6.93,7.08,75670,5286.58,0.55%
2017-10-18,7.12,7.03,-0.08,-1.13%,7.02,7.16,62878,4459.50,0.45%
2017-10-17,7.05,7.11,0.07,0.99%,7.04,7.17,78509,5580.90,0.57%
2017-10-16,7.52,7.04,-0.69,-8.93%,7.04,7.55,286104,20659.52,2.07%
2017-10-13,7.73,7.73,-0.01,-0.13%,7.66,7.77,51053,3934.53,0.37%
2017-10-12,7.78,7.74,-0.04,-0.51%,7.69,7.85,64919,5043.40,0.47%
2017-10-11,7.75,7.78,-0.09,-1.14%,7.73,7.92,80289,6269.06,0.58%
2017-10-10,7.70,7.87,0.15,1.94%,7.68,7.92,138624,10868.98,1.00%
2017-10-09,7.65,7.72,0.16,2.12%,7.60,7.82,109903,8510.17,0.79%
2017-09-29,7.60,7.56,-0.10,-1.31%,7.53,7.70,86006,6546.28,0.62%
2017-09-28,7.60,7.66,0.06,0.79%,7.46,7.79,115271,8775.25,0.83%
2017-09-27,7.58,7.60,0.02,0.26%,7.55,7.67,49676,3779.35,0.36%
2017-09-26,7.54,7.58,0.02,0.26%,7.51,7.60,55204,4165.90,0.40%
2017-09-25,7.63,7.56,-0.10,-1.31%,7.52,7.74,96154,7352.94,0.70%
2017-09-22,7.76,7.66,-0.11,-1.42%,7.50,7.78,88881,6796.03,0.64%
2017-09-21,7.85,7.77,-0.08,-1.02%,7.72,7.86,90830,7093.69,0.66%
2017-09-20,7.82,7.85,0.03,0.38%,7.79,7.88,72337,5663.51,0.52%
2017-09-19,7.93,7.82,-0.11,-1.39%,7.80,7.96,86595,6812.15,0.63%
2017-09-18,7.85,7.93,0.07,0.89%,7.80,7.94,79985,6305.34,0.58%
2017-09-15,7.89,7.86,-0.04,-0.51%,7.82,7.90,79506,6242.71,0.57%
2017-09-14,7.91,7.90,-0.01,-0.13%,7.83,7.95,95959,7560.11,0.69%
2017-09-13,7.89,7.91,-0.02,-0.25%,7.86,7.97,90603,7163.76,0.65%
2017-09-12,8.05,7.93,-0.11,-1.37%,7.78,8.06,224132,17723.46,1.62%
2017-09-11,7.97,8.04,0.03,0.37%,7.93,8.06,77313,6187.04,0.56%
2017-09-08,7.97,8.01,0.01,0.13%,7.90,8.10,121868,9747.52,0.88%
2017-09-07,8.12,8.00,-0.12,-1.48%,8.00,8.28,196830,16054.56,1.42%
2017-09-06,8.10,8.12,0.02,0.25%,7.99,8.24,217973,17618.01,1.58%
2017-09-05,8.22,8.10,-0.11,-1.34%,8.06,8.27,216777,17621.65,1.57%
2017-09-04,7.87,8.21,0.35,4.45%,7.87,8.37,417118,34117.63,3.02%
2017-09-01,7.63,7.86,0.26,3.42%,7.51,7.91,253625,19543.77,1.83%
2017-08-31,7.64,7.60,0.04,0.53%,7.56,7.66,145523,11056.64,1.05%
2017-08-30,7.49,7.56,0.10,1.34%,7.49,7.65,195110,14753.02,1.41%
2017-08-29,7.52,7.46,0.03,0.40%,7.40,7.69,192470,14427.91,1.39%
2017-08-28,7.38,7.43,0.10,1.36%,7.38,7.56,188272,14059.04,1.36%
2017-08-25,7.26,7.33,0.05,0.69%,7.23,7.34,105130,7681.41,0.76%
2017-08-24,7.35,7.28,-0.07,-0.95%,7.27,7.40,96675,7099.64,0.70%
2017-08-23,7.35,7.35,0.00,0.00%,7.32,7.45,81584,6018.18,0.59%
2017-08-22,7.43,7.35,-0.11,-1.47%,7.31,7.46,106044,7818.03,0.77%
2017-08-21,7.53,7.46,-0.04,-0.53%,7.40,7.59,132001,9869.86,0.95%
2017-08-18,7.56,7.50,-0.13,-1.70%,7.45,7.70,189177,14296.81,1.37%
2017-08-17,7.37,7.63,0.25,3.39%,7.28,7.77,351279,26488.16,2.54%
2017-08-16,7.16,7.38,0.30,4.24%,7.10,7.52,373510,27324.27,2.70%
2017-08-15,7.11,7.08,-0.01,-0.14%,7.04,7.11,92967,6574.26,0.67%
2017-08-14,6.87,7.09,0.20,2.90%,6.87,7.11,128118,9010.41,0.93%
2017-08-11,6.89,6.89,-0.06,-0.86%,6.85,7.05,93610,6500.59,0.68%
2017-08-10,7.05,6.95,-0.12,-1.70%,6.89,7.07,90260,6304.20,0.65%
2017-08-09,7.08,7.07,0.00,0.00%,7.04,7.10,90663,6412.93,0.66%
2017-08-08,7.06,7.07,0.04,0.57%,6.97,7.09,98367,6931.20,0.71%
2017-08-07,6.95,7.03,0.05,0.72%,6.95,7.08,69737,4902.25,0.50%
