Date,Open,Close,Change,Quote,Low,High,Volume,Turnover,Rate
2017-12-29,10984.86,11040.45,66.44,0.61%,10971.64,11040.62,76182816,10433321.00,-
2017-12-28,10907.83,10974.01,62.80,0.58%,10891.75,11029.08,89650504,11940743.00,-
2017-12-27,11007.44,10911.21,-110.62,-1.00%,10911.21,11026.73,86883208,11654750.00,-
2017-12-26,11002.34,11021.83,16.33,0.15%,10900.64,11025.10,75802824,9864888.00,-
2017-12-25,11102.16,11005.50,-88.66,-0.80%,10967.37,11132.59,81742568,11423905.00,-
2017-12-22,11112.73,11094.16,-24.09,-0.22%,11078.26,11154.75,69269712,10104174.00,-
2017-12-21,10988.77,11118.25,114.92,1.04%,10935.22,11149.04,85104904,12088878.00,-
2017-12-20,11072.41,11003.33,-71.66,-0.65%,10988.89,11079.13,74264264,10785799.00,-
2017-12-19,10964.14,11075.00,114.88,1.05%,10963.79,11077.18,71159600,10290409.00,-
2017-12-18,10991.11,10960.12,-38.00,-0.35%,10916.19,11046.10,71952904,10647228.00,-
2017-12-15,11092.15,10998.12,-112.06,-1.01%,10970.73,11104.82,87565856,12036737.00,-
2017-12-14,11138.46,11110.18,-33.71,-0.30%,11070.98,11165.61,79926560,11668444.00,-
2017-12-13,11030.01,11143.89,100.68,0.91%,11019.59,11143.89,73448336,10802500.00,-
2017-12-12,11145.75,11043.21,-100.05,-0.90%,11043.21,11176.58,82547568,12265193.00,-
2017-12-11,10962.18,11143.26,208.20,1.90%,10962.18,11143.26,89580216,13339906.00,-
2017-12-08,10789.17,10935.06,133.81,1.24%,10789.17,10964.79,79868440,11426269.00,-
2017-12-07,10886.26,10801.25,-110.08,-1.01%,10795.84,10925.20,73235160,10280062.00,-
2017-12-06,10838.04,10911.33,56.58,0.52%,10716.29,10911.33,89133024,12208320.00,-
2017-12-05,10988.07,10854.76,-159.79,-1.45%,10801.40,11044.18,97036664,13510723.00,-
2017-12-04,11007.19,11014.55,1.40,0.01%,10993.51,11099.83,87938152,12272782.00,-
2017-12-01,10941.87,11013.15,69.05,0.63%,10926.77,11077.43,81705760,11768189.00,-
2017-11-30,11036.75,10944.10,-138.03,-1.25%,10908.70,11079.93,81685592,11721669.00,-
2017-11-29,11095.91,11082.13,-9.01,-0.08%,10936.99,11108.45,98128928,13817581.00,-
2017-11-28,10938.40,11091.14,136.96,1.25%,10936.40,11091.14,84214080,11836876.00,-
2017-11-27,11126.78,10954.18,-214.21,-1.92%,10936.14,11126.78,100789952,13638368.00,-
2017-11-24,11135.07,11168.39,-7.08,-0.06%,11058.99,11225.20,93689320,13913050.00,-
2017-11-23,11520.04,11175.47,-385.33,-3.33%,11162.53,11520.04,117300048,17192128.00,-
2017-11-22,11598.04,11560.80,-41.30,-0.36%,11454.26,11666.13,119001344,17876246.00,-
2017-11-21,11419.09,11602.10,164.55,1.44%,11407.40,11602.10,122782696,18075102.00,-
2017-11-20,11229.58,11437.55,144.62,1.28%,11087.53,11437.55,104921416,15160523.00,-
2017-11-17,11519.92,11292.93,-245.03,-2.12%,11292.93,11555.87,129489192,18199140.00,-
2017-11-16,11442.85,11537.96,75.85,0.66%,11415.75,11549.08,103330608,15193873.00,-
2017-11-15,11548.00,11462.11,-120.82,-1.04%,11390.30,11583.97,99769408,15743487.00,-
2017-11-14,11689.93,11582.93,-112.07,-0.96%,11538.34,11700.73,122645800,18270134.00,-
2017-11-13,11657.63,11695.00,49.95,0.43%,11631.19,11714.98,119989408,18266886.00,-
2017-11-10,11540.55,11645.05,91.81,0.79%,11531.59,11659.66,113823600,16932830.00,-
2017-11-09,11443.54,11553.24,105.84,0.92%,11414.20,11553.24,103609336,14858533.00,-
2017-11-08,11460.15,11447.40,-20.57,-0.18%,11441.80,11563.82,120501912,17530186.00,-
2017-11-07,11374.09,11467.97,94.23,0.83%,11370.99,11467.97,111889368,15554259.00,-
2017-11-06,11218.04,11373.74,158.55,1.41%,11181.29,11373.74,103613040,14295341.00,-
2017-11-03,11287.55,11215.19,-77.23,-0.68%,11165.06,11334.68,102181240,13882745.00,-
2017-11-02,11336.48,11292.42,-57.90,-0.51%,11251.82,11337.01,100563384,13319533.00,-
2017-11-01,11370.52,11350.32,-17.30,-0.15%,11341.07,11424.48,87444912,12805965.00,-
2017-10-31,11293.34,11367.62,55.01,0.49%,11274.17,11368.19,84982208,12304515.00,-
2017-10-30,11446.79,11312.61,-131.91,-1.15%,11192.18,11472.28,124730176,16248648.00,-
2017-10-27,11456.57,11444.52,-16.76,-0.15%,11415.37,11484.91,95704896,12845210.00,-
2017-10-26,11430.00,11448.72,11.51,0.10%,11413.93,11509.02,87748472,12685346.00,-
2017-10-25,11330.75,11437.21,98.08,0.86%,11324.17,11437.21,87155936,11596549.00,-
2017-10-24,11289.01,11339.13,32.82,0.29%,11260.68,11339.13,79953264,11408563.00,-
2017-10-23,11239.69,11306.31,67.43,0.60%,11228.68,11306.31,78910424,10686452.00,-
2017-10-20,11154.93,11238.88,49.33,0.44%,11140.34,11238.88,72195368,10280175.00,-
2017-10-19,11275.31,11189.55,-93.20,-0.83%,11179.19,11290.72,96010032,12504125.00,-
2017-10-18,11277.54,11282.75,7.41,0.07%,11240.63,11323.26,93044800,12364427.00,-
2017-10-17,11254.41,11275.34,4.14,0.04%,11214.82,11318.00,82378304,11485929.00,-
2017-10-16,11401.87,11271.20,-127.89,-1.12%,11267.27,11422.93,124245648,16130630.00,-
2017-10-13,11312.27,11399.09,91.76,0.81%,11308.04,11400.05,96791248,13171926.00,-
2017-10-12,11309.36,11307.33,-5.17,-0.05%,11240.66,11337.12,95431232,13117052.00,-
2017-10-11,11319.46,11312.50,-17.01,-0.15%,11285.92,11344.59,112635576,16393976.00,-
2017-10-10,11260.77,11329.51,65.24,0.58%,11229.02,11329.51,111433608,15540498.00,-
2017-10-09,11248.35,11264.27,177.08,1.60%,11214.90,11305.46,122707136,17034230.00,-
2017-09-29,11042.72,11087.19,55.77,0.51%,11042.72,11121.44,98608096,13047461.00,-
2017-09-28,11029.47,11031.42,-5.36,-0.05%,11015.48,11072.56,97338744,12849238.00,-
2017-09-27,10951.96,11036.78,86.01,0.79%,10951.88,11063.13,89416288,12534710.00,-
2017-09-26,10915.66,10950.77,20.10,0.18%,10890.92,10951.14,86536408,11484878.00,-
2017-09-25,11054.26,10930.67,-139.15,-1.26%,10911.03,11056.66,92909920,13253913.00,-
2017-09-22,11067.11,11069.82,-28.52,-0.26%,11025.89,11085.43,95188856,13599137.00,-
2017-09-20,11083.85,11191.13,107.23,0.97%,11083.21,11191.13,114837352,16195378.00,-
2017-09-19,11160.42,11083.90,-69.63,-0.62%,11055.24,11181.18,110307184,15879543.00,-
2017-09-18,11062.43,11153.53,90.43,0.82%,11062.43,11154.75,109333144,15229061.00,-
2017-09-15,11058.10,11063.10,-7.39,-0.07%,11022.25,11105.02,119125368,16613014.00,-
2017-09-14,11091.97,11070.49,-21.00,-0.19%,11033.82,11124.54,119883768,16817926.00,-
2017-09-13,11040.11,11091.49,47.88,0.43%,11015.74,11091.49,110331640,16171986.00,-
2017-09-12,11063.85,11043.61,-10.12,-0.09%,11019.87,11131.95,157250560,23295634.00,-
2017-09-11,10979.72,11053.73,82.96,0.76%,10963.62,11053.73,114901032,17038466.00,-
2017-09-08,10961.70,10970.77,1.64,0.01%,10911.82,11011.11,103874520,15113021.00,-
2017-09-07,11030.60,10969.13,-55.46,-0.50%,10966.54,11059.47,126036520,18017786.00,-
2017-09-06,10959.31,11024.59,37.64,0.34%,10939.26,11036.89,124960368,17607516.00,-
2017-09-05,10958.20,10986.95,24.10,0.22%,10928.86,10995.53,117394832,15880960.00,-
2017-09-04,10882.13,10962.85,82.29,0.76%,10859.36,10969.57,133094408,17998526.00,-
2017-09-01,10822.49,10880.56,63.92,0.59%,10807.78,10880.56,124160920,16550461.00,-
2017-08-31,10823.31,10816.64,2.71,0.03%,10759.79,10837.39,97240688,13415385.00,-
2017-08-30,10762.24,10813.93,51.56,0.48%,10762.24,10825.89,102509576,13670485.00,-
2017-08-29,10796.54,10762.37,-47.37,-0.44%,10742.13,10818.22,104575648,14259098.00,-
2017-08-28,10678.35,10809.74,150.73,1.41%,10678.35,10866.36,127385712,18406188.00,-
2017-08-25,10556.54,10659.01,106.05,1.00%,10556.54,10671.71,88180664,12042299.00,-
2017-08-24,10617.74,10552.96,-66.38,-0.63%,10537.78,10627.34,75795608,10399194.00,-
2017-08-23,10642.22,10619.34,-34.64,-0.33%,10583.18,10662.83,85885200,11302865.00,-
2017-08-22,10689.65,10653.98,-35.79,-0.33%,10631.25,10699.05,97291632,13537520.00,-
2017-08-21,10624.81,10689.77,75.69,0.71%,10624.81,10689.77,97428032,12943461.00,-
2017-08-18,10586.35,10614.08,-39.65,-0.37%,10563.26,10636.15,96076776,12976427.00,-
2017-08-17,10601.65,10653.73,52.95,0.50%,10583.40,10658.16,115568424,15630582.00,-
2017-08-16,10550.42,10600.78,41.00,0.39%,10504.07,10625.34,115318896,15518723.00,-
2017-08-15,10527.54,10559.78,39.98,0.38%,10502.52,10559.78,99299048,13338925.00,-
2017-08-14,10308.97,10519.80,228.45,2.22%,10308.97,10519.80,109777800,14654336.00,-
2017-08-11,10407.33,10291.35,-189.29,-1.81%,10281.63,10459.91,121448960,14496134.00,-
2017-08-10,10525.15,10480.64,-63.95,-0.61%,10417.08,10582.16,114034664,14187110.00,-
2017-08-09,10487.77,10544.59,48.34,0.46%,10455.27,10548.06,116866912,13923770.00,-
2017-08-08,10448.87,10496.25,45.17,0.43%,10437.85,10516.61,123319376,14375200.00,-
2017-08-07,10353.15,10451.08,89.85,0.87%,10347.50,10451.08,100742304,11891407.00,-
2017-08-04,10426.53,10361.23,-74.94,-0.72%,10360.83,10450.69,128902408,15151815.00,-
2017-08-03,10454.01,10436.17,-33.17,-0.32%,10403.59,10507.23,121996768,15007829.00,-
2017-08-02,10526.00,10469.34,-56.01,-0.53%,10461.95,10557.47,133258376,16407360.00,-
2017-08-01,10496.71,10525.35,20.31,0.19%,10472.71,10529.90,124894528,15415358.00,-
2017-07-31,10438.23,10505.04,67.10,0.64%,10418.83,10517.33,131952280,16002354.00,-
2017-07-28,10381.31,10437.94,42.75,0.41%,10371.39,10456.41,108219272,13698960.00,-
2017-07-27,10284.92,10395.19,97.85,0.95%,10216.02,10416.55,130635816,16162937.00,-
2017-07-26,10365.61,10297.34,-55.87,-0.54%,10247.54,10380.70,106076080,12676718.00,-
2017-07-25,10398.25,10353.21,-51.01,-0.49%,10317.92,10421.21,95663000,11916395.00,-
2017-07-24,10352.85,10404.22,39.40,0.38%,10341.24,10414.07,101019384,12864650.00,-
2017-07-21,10354.54,10364.82,-2.16,-0.02%,10342.72,10406.25,92968920,12101795.00,-
2017-07-20,10288.89,10366.98,71.40,0.69%,10282.28,10392.06,110847192,14324079.00,-
2017-07-19,10079.68,10295.58,191.82,1.90%,10064.31,10296.29,121515616,14563425.00,-
2017-07-18,10012.91,10103.76,47.96,0.48%,9960.56,10103.76,91276288,11334006.00,-
2017-07-17,10383.22,10055.80,-371.99,-3.57%,10006.38,10384.05,127087208,15370841.00,-
2017-07-14,10445.57,10427.79,-38.31,-0.37%,10382.37,10452.94,83249256,10905385.00,-
2017-07-13,10444.78,10466.10,12.91,0.12%,10431.50,10491.39,87717184,11655316.00,-
2017-07-12,10465.87,10453.19,-14.52,-0.14%,10360.10,10494.25,96049632,12660530.00,-
2017-07-11,10488.89,10467.71,-37.89,-0.36%,10467.12,10568.37,96022920,13039674.00,-
2017-07-10,10542.55,10505.60,-58.12,-0.55%,10497.39,10574.21,111212568,13833786.00,-
2017-07-07,10526.78,10563.72,1.66,0.02%,10504.10,10564.31,98824384,12813912.00,-
2017-07-06,10547.51,10562.06,0.97,0.01%,10467.91,10574.11,104764456,14204274.00,-
2017-07-05,10443.03,10561.09,86.26,0.82%,10434.68,10561.09,87499888,12534598.00,-
2017-07-04,10527.77,10474.83,-60.22,-0.57%,10437.40,10527.77,86943424,12369085.00,-
2017-07-03,10531.73,10535.05,5.44,0.05%,10464.68,10541.86,86028248,11848608.00,-
2017-06-30,10475.22,10529.61,17.75,0.17%,10454.88,10537.50,74949744,9935644.00,-
2017-06-29,10460.38,10511.86,60.30,0.58%,10459.94,10523.52,78702432,10528132.00,-
2017-06-28,10507.05,10451.57,-83.79,-0.80%,10436.08,10517.94,77317000,10383708.00,-
2017-06-27,10532.57,10535.36,-2.23,-0.02%,10479.35,10548.80,80846256,10758988.00,-
2017-06-26,10377.22,10537.59,170.81,1.65%,10377.22,10537.59,99176192,13351769.00,-
2017-06-23,10249.79,10366.78,101.58,0.99%,10196.39,10366.78,84073136,11279173.00,-
2017-06-22,10361.34,10265.20,-101.97,-0.98%,10265.20,10418.61,92138488,12424984.00,-
2017-06-21,10327.13,10367.17,78.64,0.76%,10269.32,10367.17,77561864,10198239.00,-
2017-06-20,10281.57,10288.53,25.73,0.25%,10273.06,10323.00,79973312,10311478.00,-
2017-06-19,10191.98,10262.80,71.56,0.70%,10191.87,10262.80,65728368,8516124.00,-
2017-06-16,10212.98,10191.24,-30.45,-0.30%,10176.86,10233.80,68457536,8606897.00,-
2017-06-15,10140.08,10221.69,70.16,0.69%,10134.41,10225.05,78722840,10314309.00,-
